Title,Affiliation,Authors
It’s a Match: Task Assignment in Human–Robot Collaboration Depends on Mind Perception,"['George Mason University, Fairfax, VA, USA', 'Institute of Psychology and Education, Ulm University, Albert-Einstein-Allee 47, 89069, Ulm, Germany', 'University of North Carolina, Chapel Hill, NC, USA']","['Eva Wiese\xa0&\xa0Patrick P. Weis', 'Patrick P. Weis', 'Yochanan Bigman,\xa0Kyra Kapsaskis\xa0&\xa0Kurt Gray']"
Top of the Class: Mining Product Characteristics Associated with Crowdfunding Success and Failure of Home Robots,"['Luddy School of Informatics, Computing, and Engineering, Indiana University, Bloomington, IN, USA']","['Natasha Randall,\xa0Selma Šabanović,\xa0Staša Milojević\xa0&\xa0Apurva Gupta']"
Body Language for Personal Robot Arm Assistant,"['Department of Brain and Cognitive Science, Ben-Gurion University of the Negev, Be’er Sheva, Israel', 'Department of Industrial Engineering and Management, Ben-Gurion University of the Negev, Be’er Sheva, Israel']","['Sridatta Chatterjee', 'Yisrael Parmet\xa0&\xa0Tal Oron-Gilad']"
The Effects of Interface Views on Performing Aerial Telemanipulation Tasks Using Small UAVs,"['Biological and Agricultural Engineering, North Carolina State University, Campus Box 7625, Raleigh, NC, 27695, USA', 'Computer Engineering, Iowa State University, 2520 Osborn Dr., Ames, IA, 50011, USA', 'Agricultural and Biosystems Engineering, Iowa State University, 605 Bissell Rd., Ames, IA, 50011, USA']","['Sierra N. Young', 'Ryan J. Lanciloti', 'Joshua M. Peschel']"
Production of Character Animation in a Home Robot: A Case Study of LOVOT,"['Freelance, Tokyo, Japan', 'GROOVE X, Tokyo, Japan']","['Masahiro Emoto\xa0&\xa0Kanji Kawai', 'Naoto Yoshida,\xa0Shuto Yonemura,\xa0Naoki Numaguchi,\xa0Hiroki Nakazato,\xa0Shunsuke Otsubo,\xa0Megumi Takada\xa0&\xa0Kaname Hayashi']"
Gender Stereotyping of Robotic Systems in Eldercare: An Exploratory Analysis of Ethical Problems and Possible Solutions,"['Division of Ethics in Medicine, Carl von Ossietzky University of Oldenburg, Ammerländer Heerstraße 114-118, 26129, Oldenburg, Germany']","['Merle Weßel,\xa0Niklas Ellerich-Groppe\xa0&\xa0Mark Schweda']"
A Storytelling Robot Managing Persuasive and Ethical Stances via ACT-R: An Exploratory Study,"['Institute for High Performance Computing and Networking of the National Research Council of Italy (ICAR-CNR), Palermo, Italy', 'Institute for Educational Technology of the National Research Council of Italy (ITD-CNR), Palermo, Italy', 'Department of Computer Science of University of Turin, Turin, Italy']","['Agnese Augello\xa0&\xa0Antonio Lieto', 'Giuseppe Città\xa0&\xa0Manuel Gentile', 'Manuel Gentile\xa0&\xa0Antonio Lieto']"
"Trust, Acceptance and Social Cues in Human–Robot Interaction (SCRITA)","['University of Naples Federico II, via Pansini, 5, 80131, Naples, Italy', 'University of Hertfordshire, Hatfield, England', 'Uppsala University, Uppsala, Sweden']","['Alessandra Rossi', 'Patrick Holthaus,\xa0Sílvia Moros\xa0&\xa0Marcus Scheunemann', 'Giulia Perugia']"
Space Invaders: Pedestrian Proxemic Utility Functions and Trust Zones for Autonomous Vehicle Interactions,"['Institute for Transport Studies, University of Leeds, Leeds, UK', 'School of Computer Science, University of Lincoln, Lincoln, UK']","['Fanta Camara\xa0&\xa0Charles Fox', 'Fanta Camara\xa0&\xa0Charles Fox']"
Attitudes Toward Attributed Agency: Role of Perceived Control,"['Institute of Management Science, TU Wien, Vienna, Austria']",['Setareh Zafari\xa0&\xa0Sabine T. Koeszegi']
Empathetic Speech Synthesis and Testing for Healthcare Robots,"['Centre for Automation and Robotic Engineering Science, Department of Electrical, Computer, and Software Engineering, The University of Auckland, Auckland, New Zealand', 'Singapore University of Technology & Design, Singapore, Singapore']","['Jesin James,\xa0Catherine I. Watson\xa0&\xa0Bruce MacDonald', 'B. T. Balamurali']"
A Touching Connection: How Observing Robotic Touch Can Affect Human Trust in a Robot,"['HRI Lab, Tufts University, Medford, MA, 02155, USA', 'Department of Cognitive, Linguistic, and Psychological Sciences, Brown University, Providence, RI, 02912, USA']","['Theresa Law\xa0&\xa0Matthias Scheutz', 'Bertram F. Malle']"
Modeling and Predicting Trust Dynamics in Human–Robot Teaming: A Bayesian Inference Approach,"['Department of Industrial and Operations Engineering, University of Michigan, Ann Arbor, MI, USA']",['Yaohui Guo\xa0&\xa0X. Jessie Yang']
A Meta-analysis on Children’s Trust in Social Robots,"['Department of Psychology and Methods, Jacobs University, Bremen, Germany', 'Department of Information Technology, Uppsala University, Uppsala, Sweden']","['Rebecca Stower\xa0&\xa0Arvid Kappas', 'Natalia Calvo-Barajas\xa0&\xa0Ginevra Castellano']"
Real-Time Estimation of Drivers’ Trust in Automated Driving Systems,"['Robotics Institute, University of Michigan, Ann Arbor, MI, 48109, USA', 'Department of Mechanical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA', 'School of Information, University of Michigan, Ann Arbor, MI, 48109, USA', 'Mechanical Engineering Department, University of Michigan, Ann Arbor, MI, 48109, USA']","['Hebert Azevedo-Sa,\xa0X. Jessie Yang\xa0&\xa0Lionel P. Robert Jr.', 'Suresh Kumaar Jayaraman', 'Connor T. Esterwood', 'Dawn M. Tilbury']"
Break the Ice: a Survey on Socially Aware Engagement for Human–Robot First Encounters,"['Institute for Systems and Robotics, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal', 'Faculty of Psychology, University of Lisbon, Lisbon, Portugal']","['João Avelino,\xa0Rodrigo Ventura\xa0&\xa0Alexandre Bernardino', 'Leonel Garcia-Marques']"
Perceptions of Agent Loyalty with Ancillary Users,"['Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, USA', 'Robotics Institute, Carnegie Mellon University, Pittsburgh, USA']","['Samantha Reig\xa0&\xa0Jodi Forlizzi', 'Elizabeth Jeanne Carter,\xa0Xiang Zhi Tan\xa0&\xa0Aaron Steinfeld']"
"Good Robots, Bad Robots: Morally Valenced Behavior Effects on Perceived Mind, Morality, and Trust","['College of Media & Communication, Texas Tech University, Box 43082, Lubbock, TX, 79409, USA']",['Jaime Banks']
Investigating Trust in Interaction with Inconsistent Embodied Virtual Agents,"['Department of Computer Science, Drexel University, Philadelphia, PA, USA', 'Department of Computer Science, Worcester Polytechnic Institute, Worcester, MA, USA']","['Reza Moradinezhad', 'Erin T. Solovey']"
How Movements of a Non-Humanoid Robot Affect Emotional Perceptions and Trust,"['HRI Lab Department of Computer Science, Tufts University, Medford, MA, 02155, USA', 'Interdisciplinary Robotics Research Lab, Department of Cognitive Science, Vassar College, Poughkeepsie, NY, 12604, USA']","['Theresa Law', 'Josh de Leeuw\xa0&\xa0John H. Long']"
Do I Have a Personality? Endowing Care Robots with Context-Dependent Personality Traits,"['Institut de Robòtica i Informàtica Industrial, CSIC-UPC, C/Llorens i Artigas 4-6, 08028, Barcelona, Spain', 'Knowledge Technology Department of Informatics, University of Hamburg, Vogt-Koelln-Str 30, 22527, Hamburg, Germany', 'CAS Key Laboratory of Behavioural Science, Institute of Psychology, Beijing, China', 'Department of Psychology, University of Chinese Academy of Sciences, Beijing, China']","['Antonio Andriella,\xa0Carme Torras\xa0&\xa0Guillem Alenyà', 'Henrique Siqueira,\xa0Di Fu,\xa0Sven Magg,\xa0Pablo Barros\xa0&\xa0Stefan Wermter', 'Di Fu', 'Di Fu']"
What Do You Mean by Trust? Establishing Shared Meaning in Interdisciplinary Design for Assistive Technology,"['HCI Group, TU Wien, Argentinierstr. 8, 1040, Wien, Austria', 'New Design University, Mariazeller Str. 97a, 3100, St. Pölten, Austria']","['Isabel Schwaninger,\xa0Astrid Weiss\xa0&\xa0Geraldine Fitzpatrick', 'Florian Güldenpfennig']"
"“Don’t Get Distracted!”: The Role of Social Robots’ Interaction Style on Users’ Cognitive Performance, Acceptance, and Non-Compliant Behavior","['Psychology Department, Università degli Studi della Campania Luigi Vanvitelli, Caserta, Italy', 'Department of Electrical Engineering and Information Technologies, University of Naples Federico II, Napoli, Italy']","['Gianpaolo Maggi', 'Elena Dell’Aquila,\xa0Ilenia Cucciniello\xa0&\xa0Silvia Rossi']"
A Bayesian Trust Inference Model for Human-Multi-Robot Teams,"['Department of Mechanical Engineering, Clemson University, Clemson, SC, 29634, USA']","['Maziar Fooladi\xa0Mahani,\xa0Longsheng Jiang\xa0&\xa0Yue Wang']"
Improving Interactions with Healthcare Robots: A Review of Communication Behaviours in Social and Healthcare Contexts,"['Department of Psychological Medicine, Faculty of Health Psychology, The University of Auckland, Auckland, New Zealand', 'Department of Electrical and Computer Engineering, Faculty of Engineering, The University of Auckland, Auckland, New Zealand']","['Deborah L. Johanson\xa0&\xa0Elizabeth Broadbent', 'Ho Seok Ahn']"
The Cooperation Modes for Two Humanoid Robots,"['School of Electrical Engineering and Automation, Xiamen University of Technology, No.600, Ligong Road, Jimei,  Xiamen, 361024, People’s Republic of China']",['Li-Hong Juang']
Emotional Expressions of Real Humanoid Robots and Their Influence on Human Decision-Making in a Finite Iterated Prisoner’s Dilemma Game,"['Graduate School of Engineering, University of Fukui, 3-9-1, Bunkyo, Fukui-shi, Fukui, 910-8507, Japan', 'Faculty of Engineering, Gifu University, 1-1 Yanagido, Gifu, 501-1193, Japan', 'School of Global and Community Studies, University of Fukui, 3-9-1, Bunkyo, Fukui-shi, Fukui, 910-8507, Japan']","['Yasutake Takahashi\xa0&\xa0Yuki Kayukawa', 'Kazunori Terada', 'Hiroyuki Inoue']"
"Field Testing of Ro-Tri, a Robot-Mediated Triadic Interaction for Older Adults","['Department of EECS, Vanderbilt University, Nashville, TN, USA', 'College of Nursing, The Ohio State University, Columbus, OH, USA', 'Center for Cognitive Medicine, Vanderbilt University Medical Center, Nashville, TN, USA', 'Geriatric Research, Education and Clinical Center, Tennessee Valley Veterans Affairs Medical Center, Nashville, TN, USA', 'School of Nursing, Vanderbilt University, Nashville, TN, USA', 'Department of Mechanical Engineering, Vanderbilt University, Nashville, TN, USA']","['Jing Fan\xa0&\xa0Akshith Ullal', 'Lorraine C. Mion', 'Paul Newhouse', 'Paul Newhouse', 'Linda Beuscher', 'Nilanjan Sarkar']"
Use of a Social Robot in the Implementation of a Narrative Intervention for Young People with Cystic Fibrosis: A Feasibility Study,"['Queensland University of Technology, Brisbane, Australia']","['Jeremy K. Russell,\xa0Esben Strodl\xa0&\xa0David Kavanagh']"
Attitudes Toward Robots as Equipment and Coworkers and the Impact of Robot Autonomy Level,"['Tampere University, Tampere, Finland', 'University of Turku, Turku, Finland']","['Rita Latikka,\xa0Nina Savela\xa0&\xa0Atte Oksanen', 'Aki Koivula']"
The Threats of Artificial Intelligence Scale (TAI),"['Department of Social Sciences, University of Düsseldorf, Düsseldorf, Germany']","['Kimon Kieslich,\xa0Marco Lünich\xa0&\xa0Frank Marcinkowski']"
Tactile Interaction with a Humanoid Robot: Effects on Physiology and Subjective Impressions,"['Division of Cognitive Sciences, Department of Psychology, University of Potsdam, Potsdam, Germany', 'RoboticsLab Telematics, TH Wildau (UAS), Wildau, Germany']","['Yuefang Zhou,\xa0Tristan Kornher\xa0&\xa0Martin H. Fischer', 'Janett Mohnke']"
Designing a Novel Robot Activist Model for Interactive Child Rights Education,"['Cardiff School of Technologies, Cardiff Metropolitan University, Western Avenue, Cardiff, CF5 2YB, UK', 'School of Information Technology, Monash University Malaysia, Jalan Lagoon Selatan, 47500, Bandar Sunway, Selangor Darul Ehsan, Malaysia', 'National Human Rights Commission of Malaysia, 11th Floor, Menara TH Perdana, Jalan Sultan Ismail, 50250, Kuala Lumpur, Malaysia']","['Esyin Chew', 'Umer Sikander Khan', 'Pei Hsi Lee']"
Effect of Robot Tutor’s Feedback Valence and Attributional Style on Learners,"['Department of Industrial Engineering, Tsinghua University, Beijing, China']",['Xin Lei\xa0&\xa0Pei-Luen Patrick Rau']
Factors Predicting Patients’ Willingness to Use Robotic Dental Services,"['College of Arts and Sciences, Embry-Riddle Aeronautical University, 600 South Clyde Morris Blvd., Daytona Beach, FL, 32114, USA', 'Florida Institute of Technology, 150 W University Blvd., Melbourne, FL, 32901, USA']","['Mattie Milner,\xa0Scott R. Winter,\xa0Stephen Rice,\xa0Emily Anania,\xa0Nadine Ragbir\xa0&\xa0Cynthia Smith', 'Rian Mehta']"
The Design Model for Robotic Waitress,"['EUREKA Robotics Lab, Cardiff School of Technologies, Cardiff Metropolitan University, Western Avenue, Llandaff, Cardiff, CF5 2YB, UK']",['Jiaji Yang\xa0&\xa0Esyin Chew']
It was a Pleasure Meeting You,"['University of Hertfordshire, College Lane, Hatfield, AL10 9AB, UK', 'Bielefeld University, Inspiration 1, 33619, Bielefeld, Germany']","['Patrick Holthaus', 'Sven Wachsmuth']"
The Effects of Perceived Identity Threat and Realistic Threat on the Negative Attitudes and Usage Intentions Toward Hotel Service Robots: The Moderating Effect of the Robot’s Anthropomorphism,"['Tatung University, Taipei City, Taiwan']","['Hsien-Long Huang,\xa0Li-Keng Cheng,\xa0Pi-Chuan Sun\xa0&\xa0Szu-Jung Chou']"
Qualitative Research in HRI: A Review and Taxonomy,"['Maynooth University, Maynooth, Ireland', 'Trinity College Dublin, Dublin, Ireland']","['Louise Veling', 'Conor McGinn']"
Utility of Functional Transparency and Usability in UAV Supervisory Control Interface Design,"['Dataminr, New York, NY, USA', 'United States Military Academy, West Point, NY, USA', 'Department of Industrial & Systems Engineering, University of Florida, P.O. Box 116595, Gainesville, FL, 32611-6595, USA', 'NAVAIR, New Bern, NC, USA']","['Wenjuan Zhang', 'David Feltner', 'David Kaber', 'James Shirley']"
Perception and Evaluation in Human–Robot Interaction: The Human–Robot Interaction Evaluation Scale (HRIES)—A Multicomponent Approach of Anthropomorphism,"['Social Cognition in Human-Robot Interaction, Istituto Italiano di Tecnologia, Via Morego, 30, 16163, Genova, GE, Italy', 'Department of Education, University of Potsdam, Am Neuen Palais 10, 14469, Potsdam, Germany', 'Department of Electrical and Computer Engineering, Institute for Cognitive Systems, Technical University of Munich, Arcisstraße 21, 80333, Munich, Germany']","['Nicolas Spatola', 'Nicolas Spatola', 'Barbara Kühnlenz\xa0&\xa0Gordon Cheng']"
Adaptive Control of Robot Series Elastic Drive Joint Based on Optimized Radial Basis Function Neural Network,"['School of Mechanical and Electrical Engineering, Central South University of Forestry and Technology, Changsha, China']","['Nianfeng Shao,\xa0Qinyuan Zhou,\xa0Chenyang Shao\xa0&\xa0Yan Zhao']"
Moral Uncanny Valley: A Robot’s Appearance Moderates How its Decisions are Judged,"['University of Helsinki, Helsinki, Finland', 'Max Planck Institute for Human Development, Center for Humans & Machines, Berlin, Germany']","['Michael Laakasuo\xa0&\xa0Jussi Palomäki', 'Nils Köbis']"
Study of Coordination Between Patients with Schizophrenia and Socially Assistive Robot During Physical Activity,"['EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Montpellier, France', 'ETIS UMR8051, CY University, ENSEA, CNRS, 95000, Cergy, France', 'GIPSA-lab, Université Grenoble Alpes, 38185, Grenoble, France', 'INSERM U-1061, 34090, Montpellier, France', 'Service Universitaire de Psychiatrie Adulte, CHU Montpellier, 34090, Montpellier, France', 'Laboratoire Epsylon Universite Paul Valery Montpellier, 34090, Montpellier, France', 'College of the Holy Cross, Worcester, MA, 01610, USA', 'Laboratoire Epsylon Université Paul Valery Montpellier & Service Universitaire de Psychiatrie Adulte, CHU Montpellier, Montpellier, 34090, France']","['Lise Aubin,\xa0Chloé Amiel\xa0&\xa0Ludovic Marin', 'Ghilès Mostafaoui', 'Hélène Serré', 'Delphine Capdevielle', 'Maëlane Hellouin de Menibus', 'Julie Boiché', 'Richard Schmidt', 'Stéphane Raffard']"
Likert or Not? How Using Likert Rather Than Biposlar Ratings Reveal Individual Difference Scores Using the Godspeed Scales,"['Department of Psychology, University of Central Florida, Orlando, USA', 'MITRE Corp., McLean, USA', 'Institute for Simulation and Training, University of Central Florida, Orlando, USA']","['A. D. Kaplan\xa0&\xa0P. A. Hancock', 'T. L. Sanders', 'P. A. Hancock']"
"The Importance of Realism, Character, and Genre: How Theatre Can Support the Creation of Likeable Sociable Robots","['Department of Theatre, Film, Television and Interactive Media, University of York, Baird Lane, Heslington, York, YO10 5GB, UK']",['Louise LePage']
A Systematic Review for Service Humanoid Robotics Model in Hospitality,"['EUREKA Robotics Lab, Cardiff School of Technologies, Cardiff Metropolitan University, Western Avenue, Llandaff, Cardiff, CF5 2YB, UK']",['Jiaji Yang\xa0&\xa0Esyin Chew']
Female-Type Android’s Drive to Quickly Understand a User’s Concept of Preferences Stimulates Dialogue Satisfaction: Dialogue Strategies for Modeling User’s Concept of Preferences,"['Advanced Telecommunications Research Institute International, 2-2-2 Hikaridai, Keihanna Science City, Kyoto, Japan', 'Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama, Toyonaka, Osaka, Japan']","['Takahisa Uchida,\xa0Takashi Minato\xa0&\xa0Hiroshi Ishiguro', 'Takahisa Uchida,\xa0Yutaka Nakamura,\xa0Yuichiro Yoshikawa\xa0&\xa0Hiroshi Ishiguro']"
Children’s Evaluations of a Therapy Dog and Biomimetic Robot: Influences of Animistic Beliefs and Social Interaction,"['Department of Psychology, University of Portsmouth, Portsmouth, PO1 2DY, UK', 'School of Psychology, University of Southampton, Southampton, SO17 1BJ, UK']","['Olivia Barber,\xa0Eszter Somogyi\xa0&\xa0Leanne Proops', 'Anne E. McBride']"
Social Assistive Robots: Assessing the Impact of a Training Assistant Robot in Cardiac Rehabilitation,"['Department of Mechanical and Aerospace Engineering, Syracuse University, Syracuse, NY, USA', 'Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI, USA', 'Fundación Cardioinfantil-Instituto de Cardiología, Bogota, Colombia', 'Department of Biomedical Engineering, Colombian School of Engineering Julio Garavito, Bogota, Colombia', 'IDLab - imec, Ghent University, Ghent, Belgium']","['Jonathan Casas', 'Emmanuel Senft', 'Luisa F. Gutiérrez\xa0&\xa0Mónica Rincón-Rocancio', 'Marcela Múnera\xa0&\xa0Carlos A. Cifuentes', 'Tony Belpaeme']"
Social Robots on a Global Stage: Establishing a Role for Culture During  Human–Robot Interaction,"['School of Management, University College London, London, UK', 'Institute of Neuroscience and Psychology, University of Glasgow, Glasgow, Scotland', 'Department of Cognitive Science, Macquarie University, Sydney, Australia']","['Velvetina Lim', 'Maki Rooksby\xa0&\xa0Emily S. Cross', 'Emily S. Cross']"
Foundations of Erobotics,"['Department of Psychology, Concordia University, Montreal, QC, Canada', 'Department of Philosophy, Jean-de-Brebeuf College, Montreal, QC, Canada', 'Observatoire sur les Impacts Sociétaux de l’Intelligence Artificielle et du Numérique, Laval University, Québec, QC, Canada']","['Simon Dubé', 'Dave Anctil', 'Dave Anctil']"
“THIS ISN’T ME!”: The Role of Age-Related Self- and User Images for Robot Acceptance by Elders,"['Developmental Psychology Lab, Goethe University of Frankfurt am Main, Frankfurt, Germany', 'Psychological Ageing Research, University of Siegen, Siegen, Germany', 'Developmental and Child and Adolescent Clinical Psychology Unit, Christian-Albrechts-University of Kiel, Kiel, Germany']","['Melanie Dudek\xa0&\xa0Monika Knopf', 'Stefanie Baisch', 'Thorsten Kolling']"
Computational Emotion Models: A Thematic Review,"['Centre for Artificial Intelligence (CAI), Faculty of Engineering and Information Technology, University of Technology Sydney (UTS), Ultimo, Australia']","['Suman Ojha,\xa0Jonathan Vitale\xa0&\xa0Mary-Anne Williams']"
Humor–Robot Interaction: A Scoping Review of the Literature and Future Directions,"['ISCTE-Instituto Universitário de Lisboa (ISCTE-IUL), CIS-IUL and INESC-ID, Lisbon, Portugal', 'ISCTE-Instituto Universitário de Lisboa (ISCTE-IUL) and CIS-IUL, Lisbon, Portugal', 'INESC-ID (GAIPS), Lisbon, Portugal', 'Instituto Superior Técnico-Universidade de Lisboa and INESC-ID, Lisbon, Portugal']","['Raquel Oliveira', 'Patrícia Arriaga', 'Minja Axelsson', 'Ana Paiva']"
Human–Robot Collaborative Control in a Virtual-Reality-Based Telepresence System,"['Mathworks Inc., Natick, USA', 'Department of Electrical and Computer Engineering, University of Louisville, Louisville, USA', 'School of Electrical and Computer Engineering, Oklahoma State University, Stillwater, USA']","['Jianhao Du', 'Ha Manh Do', 'Weihua Sheng']"
The Rise of the Roboid,"['Department of Mathematics, Computer Science and Physics, University of Udine, Via delle Scienze, 206, 33100, Udine, (UD), Italy', 'The BioRobotics Institute, Scuola Superiore Sant’Anna, Viale Rinaldo Piaggio, 34, 56025, Pontedera, (PI), Italy', 'Department of Excellence in Robotics & AI, Scuola Superiore Sant’Anna, Piazza Martiri della Libertà, 33, 56127, Pisa, (PI), Italy', 'Department of Industrial Engineering, University of Florence, Via di S. Marta 3, 50139, Florence, (FI), Italy']","['Leopoldina Fortunati', 'Alessandra Sorrentino,\xa0Laura Fiorini\xa0&\xa0Filippo Cavallo', 'Alessandra Sorrentino,\xa0Laura Fiorini\xa0&\xa0Filippo Cavallo', 'Filippo Cavallo']"
"Small Talk with a Robot? The Impact of Dialog Content, Talk Initiative, and Gaze Behavior of a Social Robot on Trust, Acceptance, and Proximity","['Department of Human Factors, Institute of Psychology and Education, Ulm University, Albert-Einstein-Allee 43, Ulm, Germany', 'Institute of Communications Engineering, Dialog Systems Group, Ulm University, Albert-Einstein-Allee 43, Ulm, Germany']","['Franziska Babel,\xa0Johannes Kraus,\xa0Linda Miller\xa0&\xa0Martin Baumann', 'Matthias Kraus,\xa0Nicolas Wagner\xa0&\xa0Wolfgang Minker']"
Asynchronously Embedding Psychological Test Questions into Human–Robot Conversations for User Profiling,"['Department of Psychology, National Taiwan University, No. 1, Sec. 4, Roosevelt Rd, Taipei, 10617, Taiwan', 'Graduate Institute of Brain and Mind Sciences, National Taiwan University, Taipei, Taiwan', 'Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan', 'Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan', 'MOST Joint Research Center for AI Technology and All Vista Healthcare, Taipei, Taiwan', 'MOST AI Biomedical Research Center, Tainan, Taiwan']","['Tsung-Ren Huang,\xa0Yu-Wei Liu,\xa0Shin-Min Hsu,\xa0Yu-Ling Chang\xa0&\xa0Su-Ling Yeh', 'Joshua O. S. Goh', 'Li-Chen Fu', 'Li-Chen Fu', 'Tsung-Ren Huang,\xa0Yu-Wei Liu,\xa0Shin-Min Hsu,\xa0Joshua O. S. Goh,\xa0Yu-Ling Chang,\xa0Su-Ling Yeh\xa0&\xa0Li-Chen Fu', 'Tsung-Ren Huang']"
Telepresence Robot Use for Children with Chronic Illness in Australian Schools: A Scoping Review and Thematic Analysis,"['University of Newcastle, Callaghan, NSW, Australia', 'University of New England, Armidale, NSW, Australia']","['Angela Page', 'Jennifer Charteris\xa0&\xa0Jeanette Berman']"
Neural-Network-Based Robust Tracking Control for Condenser Cleaning Crawler-Type Mobile Manipulators with Delayed Uncertainties,"['The School of Electronic Information and Electrical Engineering, Changsha University, Changsha, 410022, Hunan, People’s Republic of China', 'The School of Information Science and Engineering, Changsha Normal University, Changsha, 410000, Hunan, People’s Republic of China', 'The College of Electric and Information Technology, Hunan University, Changsha, 410082, Hunan, People’s Republic of China', 'The Department of Applied Mathematics, University of Waterloo, Waterloo, Ontario, N2L 3G1, Canada', 'The School of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, 410004, Hunan, People’s Republic of China']","['Yi Zuo,\xa0Minghua Xie\xa0&\xa0Lihua Cao', 'Dong Hu', 'Yaonan Wang', 'Xinzhi Liu', 'Zhisheng Chen\xa0&\xa0Huimin Zhao']"
Social Cues in the Autonomous Navigation of Indoor Mobile Robots,"['Centre of Intelligent Robotics, Indian Institute of Information Technology, Allahabad, Prayagraj, India']","['Arun Kumar Reddy,\xa0Vaibhav Malviya\xa0&\xa0Rahul Kala']"
The Exploration of the Uncanny Valley from the Viewpoint of the Robot’s Nonverbal Behaviour,"['Department of Computer Science, Tokyo Institute of Technology, Yokohama, Japan']","['Chidchanok Thepsoonthorn,\xa0Ken-ichiro Ogawa\xa0&\xa0Yoshihiro Miyake']"
Collaborative Human–Robot Interaction Interface: Development for a Spinal Surgery Robotic Assistant,"['Universidad de Navarra, Tecnun, Manuel Lardizabal 13, 20018, San Sebastian, Spain', 'Ceit, Manuel Lardizabal 15, 20018, San Sebastian, Spain', 'Cyber Surgery S.L., Paseo Mikeletegui 71, 20009, San Sebastian, Spain']","['Andres Amarillo\xa0&\xa0Emilio Sanchez', 'Emilio Sanchez\xa0&\xa0Juan Caceres', 'Andres Amarillo\xa0&\xa0Jon Oñativia']"
Performing the Kick During Walking for RoboCup 3D Soccer Simulation League Using Reinforcement Learning Algorithm,"['Department of Computer, Faculty of Computer, University of Rahjuyan Danesh Borazjan, Bushehr, Iran', 'Department of Computer Engineering, Ahram Branch, Islamic Azad University, Bushehr, Iran', 'School of Electrical and Computer, Engineering, Shiraz University, Shiraz, Iran']","['Amin Rezaeipanah', 'Parvin Amiri', 'Shahram Jafari']"
One-shot Learning from Demonstration Approach Toward a Reciprocal Sign Language-based HRI,"['Social and Cognitive Robotics Lab, Sharif University of Technology, Tehran, Iran', 'Faculty of Humanities, Islamic Azad University, West Tehran Branch, Tehran, Iran']","['Seyed Ramezan Hosseini,\xa0Alireza Taheri,\xa0Minoo Alemi\xa0&\xa0Ali Meghdari', 'Minoo Alemi']"
Fall Protection Framework of Lower Extremity Exoskeleton Walking System Based on Differential Motion Planning,"['Department of Electrical and Computer Engineering, Oakland University, Rochester, MI, 48309, USA']",['Velayudham Ganesan\xa0&\xa0Edward Y. L. Gu']
Learning in Summer Camp with Social Robots: A Morphological Study,"['Department of Psychology, University of California, Berkeley, CA, US', 'Curiosity Lab, Department of Industrial Engineering, Tel-Aviv University, Tel Aviv, Israel', 'Department of Hebrew language and Semitic languages, Tel-Aviv University, Tel Aviv, Israel']","['Leigh Levinson', 'Omer Gvirsman\xa0&\xa0Goren Gordon', 'Iris Melamed Gorodesky,\xa0Almogit Perez\xa0&\xa0Einat Gonen']"
Does Context Matter? Effects of Robot Appearance and Reliability on Social Attention Differs Based on Lifelikeness of Gaze Task,"['George Mason University, Fairfax, VA, USA', 'Italian Institute of Technology, Genoa, Italy', 'Ulm University, Ulm, Germany']","['Abdulaziz Abubshait,\xa0Patrick P. Weis\xa0&\xa0Eva Wiese', 'Abdulaziz Abubshait', 'Patrick P. Weis']"
Robot-Mediated Social Skill Intervention Programme for Children with Autism Spectrum Disorder: An ABA Time-Series Study,"['Department of Special Education and Counseling, The Education University of Hong Kong, 10 Lo Ping Road, Tai Po, New Territories, Hong Kong']",['Eva Yin-han Chung']
The Role of Speech Technology in User Perception and Context Acquisition in HRI,"['Speech Processing and Transmission Lab, Department of Electrical Engineering, Universidad de Chile, Santiago, Chile']","['Jorge Wuth,\xa0Pedro Correa,\xa0Tomás Núñez,\xa0Matías Saavedra\xa0&\xa0Néstor Becerra Yoma']"
"Implicit Attitudes Towards Robots Predict Explicit Attitudes, Semantic Distance Between Robots and Humans, Anthropomorphism, and Prosocial Behavior: From Attitudes to Human–Robot Interaction","['Center for Human Technologies, Istituto Italiano di Tecnologia, Via Morego, 30, 16163, Genoa, Italy', 'Department of Psychology, Humboldt-Universität zu Berlin, Berlin, Germany']","['Nicolas Spatola', 'Olga A. Wudarczyk']"
