Title,Affiliation,Authors,Coordinates
Investigating the Effects of Robot Engagement Communication on Learning from Demonstration,"'Department of CSE, Hong Kong University of Science and Technology, Hong Kong SAR, China'","'Mingfei Sun,\xa0Zhenhui Peng,\xa0Meng Xia\xa0&\xa0Xiaojuan Ma'","[(22.3386304, 114.2620337)]"
Stitching Videos from a Fisheye Lens Camera and a Wide-Angle Lens Camera for Telepresence Robots,"'Tus College of Digit, Guangxi University of Science and Technology, Liuzhou, 545006, People’s Republic of China', 'Beijing Laboratory of Intelligent Information Technology, School of Computer Science, Beijing Institute of Technology, Beijing, 100081, People’s Republic of China'","'Yanmei Dong', 'Yanmei Dong,\xa0Mingtao Pei,\xa0Lijia Zhang,\xa0Bin Xu,\xa0Yuwei Wu\xa0&\xa0Yunde Jia'","[(24.3323057, 109.44357682657453), (39.9578214, 116.3098236715735)]"
Identifying Functions and Behaviours of Social Robots for In-Class Learning Activities: Teachers’ Perspective,"'University of Waterloo, 200 University Avenue West, Waterloo, ON, N2L 3G1, Canada', 'Monash University, Melbourne, VIC, 3800, Australia', 'Centre Inria Bordeaux - Sud-Ouest, 200 Avenue de la Vieille Tour, 33405, Talence, France'","'Jessy Ceha\xa0&\xa0Edith Law', 'Dana Kulić', 'Pierre-Yves Oudeyer\xa0&\xa0Didier Roy'","[(43.468698, -80.5454615), (-37.91412095, 145.13167281466212), (44.80836565, -0.5998368209979617)]"
Help-Estimator: Robot Requests for Help from Humans by Estimating a Person’s Subjective Time,"'Keio University, 3-14-4 Hiyoshi, Kohoku-ku, Yokohama, Kanagawa, 223-8522, Japan'","'Mitsuhiko Kimoto,\xa0Yuuki Yasumatsu\xa0&\xa0Michita Imai'","[(35.552084050000005, 139.6495837941362)]"
Robots for Elderly Care in the Home: A Landscape Analysis and Co-Design Toolkit,"'Knowledge Media Institute, The Open University, Milton Keynes, UK'","'Gianluca Bardaro,\xa0Alessio Antonini\xa0&\xa0Enrico Motta'","[(52.02453775, -0.7092748093945007)]"
Context-Enhanced Human-Robot Interaction: Exploring the Role of System Interactivity and Multimodal Stimuli on the Engagement of People with Dementia,"'Department of Industrial Design, Eindhoven University of Technology, Eindhoven, the Netherlands', 'Department of Industrial Design, Northwestern Polytechnical University, Xi’an, China', 'Human-Technology Interaction Group, Eindhoven University of Technology, Eindhoven, the Netherlands', 'Department of Information Technology, Uppsala University, Uppsala, Sweden'","'Yuan Feng,\xa0Emilia I. Barakova,\xa0Jun Hu\xa0&\xa0G. W. Matthias Rauterberg', 'Yuan Feng\xa0&\xa0Suihuai Yu', 'Giulia Perugia', 'Giulia Perugia'","[(51.4486602, 5.4903995655080475), (34.24691835, 108.91061577542916), (51.4486602, 5.4903995655080475), (59.8617859, 17.6376705)]"
Designing a Socially Assistive Robot for Education Through a Participatory Design Approach: Pivotal Principles for the Developers,"'University of Western Macedonia, Kozani, Greece', 'University of Macedonia, Thessaloniki, Greece'","'Dimitris Pnevmatikos\xa0&\xa0Panagiota Christodoulou', 'Nikolaos Fachantidis'","[(40.322311549999995, 21.790860629022156), (40.62513755, 22.9601033441786)]"
"Ethics & Robotics, Embodiment and Vulnerability","'Université du Québec à Montréal, Montreal, Canada'",'Paul Dumouchel',"[(45.513225250000005, -73.56141109213168)]"
Guiding a Person Through Combined Robotic and Projection Movements,"'Graduate School of Information Sciences, Hiroshima City University, 3-4-1, Ozuka-higashi, Asa-minami, Hiroshima, 731-3194, Japan'","'Aki Tamai,\xa0Soya Ono,\xa0Tomoki Yoshida,\xa0Tetsushi Ikeda\xa0&\xa0Satoshi Iwaki'","[(34.43797305, 132.41649635513562)]"
An Attachment Framework for Human-Robot Interaction,"'HRI Lab, Tufts University, 200 Boston Avenue, Medford, MA, 02155, USA'","'Nicholas Rabb,\xa0Theresa Law,\xa0Meia Chita-Tegmark\xa0&\xa0Matthias Scheutz'","[(42.414671, -71.126381)]"
How to Increase the Customer Experience by the Usage of Remote Control Robot Concierge Solutions,"'EHL, HES-SO, University of Applied Sciences Western Switzerland, Lausanne, Switzerland', 'Rutgers School of Management and Labor Relations, Piscataway, NJ, USA'","'Reza Etemad-Sajadi', 'Michael C. Sturman'","[(46.5231527, 6.6104024), (40.5462553, -74.4660408)]"
Determining Shape and Size of Personal Space of a Human when Passed by a Robot,"'Eindhoven University of Technology, P.O Box 513, 5600MB, Eindhoven, The Netherlands'","'Margot M. E. Neggers,\xa0Raymond H. Cuijpers,\xa0Peter A. M. Ruijten\xa0&\xa0Wijnand A. IJsselsteijn'","[(51.4486602, 5.4903995655080475)]"
"Are Tutor Robots for Everyone? The Influence of Attitudes, Anxiety, and Personality on Robot-Led Language Learning","'Faculty of Arts and Social Sciences, Sabancı University, Orta Mahalle, Üniversite Caddesi No:27, Tuzla, 34956, Istanbul, Turkey', 'Department of Psychology, Koç University, Istanbul, Turkey', 'Max Planck Institute for Human Development, MPRG iSearch, Berlin, Germany', 'Department of Education and Pedagogy, Utrecht University, Utrecht, Netherlands', 'Department of Psychology, Özyeğin University, Istanbul, Turkey'","'Junko Kanero', 'Junko Kanero,\xa0Cansu Oranç,\xa0Sümeyye Koşkulu,\xa0Tilbe Göksun\xa0&\xa0Aylin C. Küntay', 'Cansu Oranç', 'Sümeyye Koşkulu', 'G. Tarcan Kumkale'","[(40.895544, 29.3702158), (41.20315895, 29.072865356234708), (52.4686894, 13.303758929473972), (52.08340265, 5.148315067762755), (41.0091982, 28.9662187)]"
Safety Concerns Emerging from Robots Navigating in Crowded Pedestrian Areas,"'LASA Laboratory, School of Engineering, EPFL, Station 9, 1015, Lausanne, Switzerland'","'Pericle Salvini,\xa0Diego Paez-Granados\xa0&\xa0Aude Billard'","[('', '')]"
Robot Navigation Based on Predicting of Human Interaction and its Reproducible Evaluation in a Densely Crowded Environment,"'Department of Mechanical Engineering, Shizuoka University, Hamamatsu, Japan', 'Hewlett-Packard Japan, Ltd., Tokyo, Japan', 'Persol Research & Development, Nagoya, Japan', 'Sky Ocean Technology Co. Ltd., Jeju-si, South Korea', 'Toyota Motor Corporation, Toyota, Japan'","'Yuichi Kobayashi\xa0&\xa0Francisco J. Arjonilla Garcia', 'Takeshi Sugimoto', 'Yuki Shimomura', 'Chyon Hae Kim', 'Kazuhito Tanaka,\xa0Hidenori Yabushita\xa0&\xa0Takahiro Toda'","[(34.724986, 137.71755148856), (35.7049704, 139.6241444), (35.1851045, 136.8998438), (33.4930566, 126.5130589), (35.052364049999994, 137.15811384393055)]"
Pay Them No Mind: the Influence of Implicit and Explicit Robot Mind Perception on the Right to be Protected,"'Human Interface Technology Lab (HITlab NZ), University of Canterbury, Christchurch, New Zealand', 'Center for Cognitive Interaction Technology (CITEC), Universität Bielefeld, Bielefeld, Germany'","'Merel Keijsers\xa0&\xa0Christoph Bartneck', 'Friederike Eyssel'","[(-43.5240894, 172.5803057563435), (52.0376885, 8.493223283579532)]"
Children’s Imaginaries of Robots for Playing With,"'Department of Occupational Therapy. Faculty of Rehabilitation Medicine, University of Alberta, 2-64 Corbett Hall, Edmonton, AB, T6G 2G4, Canada', 'School of Medicine and Health Sciences, Universidad del Rosario, Calle 63D # 24-31, 7 de Agosto, Bogotá, D.C, Colombia', 'Glenrose Rehabilitation Hospital, 10230 111 Ave NW, Edmonton, AB, T5G 0B7, Canada', 'Faculty of Health, University of Waterloo, 200 University Ave W, Waterloo, ON, N2L 3G5, Canada'","'Adriana Maria Ríos Rincón\xa0&\xa0Antonio Miguel-Cruz', 'William Ricardo Rodríguez-Dueñas,\xa0Daniel Alejandro Quiroga Torres\xa0&\xa0Andrés Felipe Bohórquez', 'Antonio Miguel-Cruz', 'Antonio Miguel-Cruz'","[('', ''), (4.659891, -74.0709523), (53.5598046, -113.49782027806222), (43.468698, -80.5454615)]"
Can I Feel Your Pain? The Biological and Socio-Cognitive Factors Shaping People’s Empathy with Social Robots,"'Faculty of Philosophy, Adam Mickiewicz University, Poznań, Poland', 'Department of Philosophy, Jagiellonian University, Kraków, Poland'","'Joanna K. Malinowska', 'Joanna K. Malinowska'","[(52.4006632, 16.91973259178088), (50.0607296, 19.9309195)]"
Online Gait Phase Detection in Complex Environment Based on Distance and Multi-Sensors Information Fusion Using Inertial Measurement Units,"'School of Information Engineering, Wuhan University of Technology, 122 Luoshi Road, Wuhan, Hubei, China'","'Liping Huang,\xa0Jianbin Zheng\xa0&\xa0Huacheng Hu'","[(30.60903415, 114.35142839343906)]"
Personality Synthesis on Information-Seeking Mobile Agents in a 2D Space,"'Graduate School of Informatics, Kyoto University, Yoshida-honmachi, Sakyo-ku, Kyoto, 606-8501, Japan', 'Department of Mechanical Engineering, University of British Columbia, 3333 University Way, Kelowna, BC, V1V 1V7, Canada'","'Kotaro Funakoshi,\xa0Ritsuko Iwai\xa0&\xa0Takatsune Kumada', 'Sam Lee'","[(35.0268953, 135.7815031), (49.942178, -119.39938459922291)]"
Survey of Emotions in Human–Robot Interactions: Perspectives from Robotic Psychology on 20 Years of Research,"'Professor for Marketing and HR, Technical University Darmstadt, Hochschulstr. 1, 64289, Darmstadt, Germany'",'Ruth Stock-Homburg',"[(49.8765138, 8.6563911)]"
Sexbots as Synthetic Companions: Comparing Attitudes of Official Sex Offenders and Non-Offenders,"'Department of Psychology, Università degli Studi di Torino, Turin, Italy', 'Institute of Criminology, University of Cambridge, Cambridge, United Kingdom'","'Georgia Zara\xa0&\xa0Sara Veggi', 'Georgia Zara\xa0&\xa0David P. Farrington'","[(45.07338235, 7.699437189967615), (52.2006233, 0.1104744)]"
Why and How Robots Should Say ‘No’,"'Navy Center for Applied Research in Artificial Intelligence, U.S. Naval Research Laboratory, 4555 Overlook Ave SW, Washington, DC, 20375, USA', 'MIRRORLab, Department of Computer Science, Colorado School of Mines, Golden, CO, 80401, USA', 'Department of Computer Science, Tufts University, Medford, MA, 021555, USA'","'Gordon Briggs', 'Tom Williams\xa0&\xa0Ryan Blake Jackson', 'Matthias Scheutz'","[(38.8231381, -77.0178902), ('', ''), (33.7053166, -117.7381733)]"
Effects of Social Behaviors of Robots in Privacy-Sensitive Situations,"'Koh Young Technology, Seoul, Korea', 'Korea Institute of Science and Technology (KIST), Seoul, Korea', 'Seoul Robotics Co., Ltd, Seoul, Korea', 'Inha University, Incheon, Korea', 'Department of HY-KIST Bio-convergence, Hanyang University, Seoul, Korea'","'Daseul Yang', 'Yu-Jung Chae,\xa0Yoonseob Lim,\xa0Dong Hwan Kim,\xa0ChangHwan Kim\xa0&\xa0Sung-Kee Park', 'Doogon Kim', 'Changjoo Nam', 'Yoonseob Lim'","[(37.5666791, 126.9782914), (37.5666791, 126.9782914), (37.482031750000004, 127.00360769284941), (37.44944305, 126.65344455141604), (37.5557232, 127.0436441)]"
Perceptual Evaluation of Blended Sonification of Mechanical Robot Sounds Produced by Emotionally Expressive Gestures: Augmenting Consequential Sounds to Improve Non-verbal Robot Communication,"'KTH Royal Institute of Technology, Stockholm, Sweden'",'Emma Frid\xa0&\xa0Roberto Bresin',"[(59.2016758, 17.6203201)]"
Designing AI for Explainability and Verifiability: A Value Sensitive Design Approach to Avoid Artificial Stupidity in Autonomous Vehicles,"'Institute for Ethics and Emerging Technologies, University of Turin, Via Sette Comuni 45, Turin, 10127, Italy', 'Computer Engineering and Computer Science Department, University of Louisville, Louisville, 40292, USA'","'Steven Umbrello', 'Roman V. Yampolskiy'","[(45.0192818, 7.6540821), (38.21332235, -85.75770751081866)]"
Mind the Robot! Variation in Attributions of Mind to a Wide Set of Real and Fictional Robots,"'University of British Columbia, 2136 West Mall, Vancouver, BC, V6T 1Z4, Canada', 'Maslo Research, Los Angeles, USA'","'Oliver L. Jacobs\xa0&\xa0Alan Kingstone', 'Oliver L. Jacobs\xa0&\xa0Kamel Gazzaz'","[(49.2564067, -123.248897), (34.0536909, -118.242766)]"
The Psychological Implications of Companion Robots: A Theoretical Framework and an Experimental Setup,"'Department of Psychology, Sapienza University of Rome, Rome, Italy', 'DIRPOLIS Institute, Sant’Anna School of Advanced Studies, Pisa, Italy', 'Dipartimento di Ingegneria Informatica, Automatica e Gestionale, Sapienza University of Rome, Rome, Italy'","'Nicoletta Massa', 'Piercosma Bisconti', 'Daniele Nardi'","[('', ''), (43.7159395, 10.4018624), ('', '')]"
Correction to: Moral Uncanny Valley: A Robot’s Appearance Moderates How its Decisions are Judged,"'University of Helsinki, Helsinki, Finland', 'Max Planck Institute for Human Development, Center for Humans & Machines, Berlin, Germany'","'Michael Laakasuo\xa0&\xa0Jussi Palomäki', 'Nils Köbis'","[(60.175648300000006, 24.953550020522073), (52.4686894, 13.303758929473972)]"
Editorial,"'Social Cognition in Human-Robot Interaction, Istituto Italiano Di Tecnologia, Genova, Italy', 'CNRS, Inria, LORIA, Université de Lorraine, Nancy, France', 'Artificial Intelligence Laboratory, Department of Computer Science, Stanford University, Stanford, CA, USA'","'Agnieszka Wykowska', 'Serena Ivaldi', 'Oussama Khatib'","[(44.475016499999995, 8.906361822677376), ('', ''), (37.431313849999995, -122.16936535498309)]"
Enhancing Emotional Support: The Effect of a Robotic Object on Human–Human Support Quality,"'Media Innovation Lab (miLAB), School of Communications, The Interdisciplinary Center (IDC) Herzliya, 46150, Herzliya, Israel', 'Baruch Ivcher School of Psychology, The Interdisciplinary Center (IDC) Herzliya, Herzliya, Israel'","'Hadas Erel,\xa0Denis Trayman,\xa0Chen Levy,\xa0Adi Manor\xa0&\xa0Oren Zuckerman', 'Mario Mikulincer'","[(32.8128858, 34.9928471), (32.1676842, 34.83082794429146)]"
The CARESSES Randomised Controlled Trial: Exploring the Health-Related Impact of Culturally Competent Artificial Intelligence Embedded Into Socially Assistive Robots and Tested in Older Adult Care Homes,"'University of Bedfordshire, Park Square Campus, Luton, LU1 3JU, UK', 'Advinia Health Care Limited LTD, 314 Regents Park Road, London, N3 2JX, UK', 'Department of Informatics, Bioengineering, Robotics and Systems Engineering, University of Genova, Via all’Opera Pia 13, 16145, Genova, Italy', 'School of Science and Technology, Orebro University, Orebro, Sweden', 'Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Nomi, Ishikawa, 923-1292, Japan', 'Nagoya University, Furocho, Chikusaku, Nagoya, Aichi, 464-8601, Japan'","'Chris Papadopoulos,\xa0Abiha Nigath,\xa0Rosemary Davidson,\xa0Nicholas Faulkes,\xa0Gurch Randhawa\xa0&\xa0David Hewson', 'Nina Castro,\xa0Len Merton\xa0&\xa0Sanjeev Kanoria', 'Roberto Menicatti,\xa0Carmine Recchiuto,\xa0Linda Battistuzzi\xa0&\xa0Antonio Sgorbissa', 'Ali Abdul Khaliq', 'Nak-Young Chong', 'Hiroko Kamide'","[(51.877864200000005, -0.41062506211596705), (51.59945465, -0.1954914641199681), (44.403392499999995, 8.958405399999998), ('', ''), (36.4392262, 136.5424414), (35.155777, 136.9645758)]"
The Doors of Social Robot Perception: The Influence of Implicit Self-theories,"'Human Interface Technology Lab NZ, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand', 'Department of Psychology, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand'","'D. D. Allan\xa0&\xa0Christoph Bartneck', 'Andrew J. Vonasch'","[(-43.5240894, 172.5803057563435), (-43.5240894, 172.5803057563435)]"
Should I be Introvert or Extrovert? A Pairwise Robot Comparison Assessing the Perception of Personality-Based Social Robot Behaviors,"'Brubotics, Vrije Universiteit Brussel and imec, Brussels, Belgium', 'imec-SMIT, Vrije Universiteit Brussel, Brussels, Belgium'","'Pablo G. Esteban,\xa0Elahe Bagheri,\xa0Hoang-Long Cao,\xa0Albert De Beir\xa0&\xa0Bram Vanderborght', 'Shirley A. Elprama,\xa0Charlotte I. C. Jewell\xa0&\xa0An Jacobs'","[(50.8465573, 4.351697), (50.822552900000005, 4.395486914424975)]"
Can Robots Help Working Parents with Childcare? Optimizing Childcare Functions for Different Parenting Characteristics,"'Department of Interaction Science, Sungkyunkwan University, 25-2 Sungkyunwan-ro, Jongno-gu, Seoul, 03063, Republic of Korea', 'Media Effects Research Laboratory, Donald P. Bellisario College of Communications, The Pennsylvania State University, University Park, PA, 16803, USA'","'Jieon Lee,\xa0Daeho Lee\xa0&\xa0Jae-gil Lee', 'Jae-gil Lee'","[(37.5870459, 126.99062637670926), (40.11531205, -75.11086712018366)]"
Human-Robot Handshaking: A Review,"'Technical University of Darmstadt, Darmstadt, Germany', 'Max Planck Institute for Intelligent Systems, Tübingen, Germany'","'Vignesh Prasad,\xa0Ruth Stock-Homburg\xa0&\xa0Jan Peters', 'Jan Peters'","[(49.8851869, 8.6736295), (48.535503750000004, 9.057921738521756)]"
Effect of Voice Type and Head-Light Color in Social Robots for Different Applications,"'The College of Fine Arts, Guangdong Ploytechnic Normal University, Guangdong, China', 'Department of Industrial Design, Tatung University, Taipei, Taiwan', 'The Graduate Institute of Design Science, Tatung University, Taipei, Taiwan'","'Xiao Dou', 'Chih-Fu Wu\xa0&\xa0Kuan-Ru Pan', 'Jin Niu'","[(23.1357694, 113.1982688), (25.06719335, 121.52103638661174), (25.06719335, 121.52103638661174)]"
DSD - Dynamic Stack Decider,"'Department of Informatics, Universität Hamburg, Vogt-Kölln-Straße 30, 22527, Hamburg, Germany'",'Martin Poppinga\xa0&\xa0Marc Bestmann',"[(53.5998564, 9.9316718)]"
Is a Soft Robot More “Natural”? Exploring the Perception of Soft Robotics in Human–Robot Interaction,"'Center for Soft Robotics, SDU Biorobotics, University of Southern Denmark, Campusvej 55, 5230, Odense M, Denmark', 'Center for Neuropsychiatric Schizophrenia Research (CNSR) and Center for Clinical Intervention and Neuropsychiatric Schizophrenia Research (CINS), Mental Health Centre Glostrup, University of Copenhagen, Nordstjernevej 29-67, 2600, Glostrup, Denmark', 'Research Laboratory for Art and Technology, Department of Communication and Psychology, Aalborg University, Rendsburggade 14, 9000, Aalborg, Denmark'","'Jonas Jørgensen', 'Kirsten Borup Bojesen', 'Elizabeth Jochum'","[(55.368644, 10.428177), (55.6733449, 12.3924265), (57.048377, 9.929762)]"
iRoPro: An interactive Robot Programming Framework,"'Université Grenoble Alpes, LIG, 38000, Grenoble, France'","'Ying Siu Liang,\xa0Damien Pellier,\xa0Humbert Fiorino\xa0&\xa0Sylvie Pesty'","[(45.1899678, 5.7670157)]"
What if Social Robots Look for Productive Engagement?,"'Computer-Human Interaction in Learning and Instruction (CHILI) Lab, Swiss Federal Institute of Technology in Lausanne (EPFL), Lausanne, Switzerland', 'MOBOTS group within the Biorobotics Laboratory (BioRob), Swiss Federal Institute of Technology in Lausanne (EPFL), Lausanne, Switzerland', 'CNRS UMR 7222, Institute for Intelligent Systems and Robotics, Sorbonne University, Paris, France'","'Jauwairia Nasir,\xa0Barbara Bruno\xa0&\xa0Pierre Dillenbourg', 'Barbara Bruno', 'Mohamed Chetouani'","[(46.5218269, 6.6327025), (46.5218269, 6.6327025), (48.846899699999994, 2.357448653115875)]"
People Do not Automatically Take the Level-1 Visual Perspective of Humanoid Robot Avatars,"'Department of Psychology, School of Social and Behavioral Sciences, Nanjing University, Nanjing, 210023, China'","'Chengli Xiao,\xa0Ya Fan,\xa0Jingyu Zhang\xa0&\xa0Renlai Zhou'","[(32.1199771, 118.95255081046548)]"
Exploring the Non-significant Difference on Students’ Cognitive Load Imposed by Robotics Tasks in Pair Learning,"'School of Information Technology in Education, South China Normal University, No. 55, West of Zhongshan Avenue, P.O. Box 510631, Guangzhou, China', 'Jinzhou No. 1 Senior High School, Jinzhou, Liaoning, China'","'Baichang Zhong', 'Jiayu Wang'","[('', ''), (41.1087113, 121.1186159)]"
Computer-Aided Teaching Using SimMechanics and Matlab for Project-Based Learning in a Robotics Course,"'Human Centred Technology Research Center, ACT, University of Canberra, Canberra, Australia', 'School of Electrical and Computer Engineering, Nazarbayev University, Astana, Kazakhstan', 'College of Engineering and Technology, American University of the Middle East, Kuwait City, Kuwait'","'Shahid Hussain', 'Prashant K. Jamwal', 'Muhammad T. Munir'","[(-35.28121335, 149.11677886464528), (51.0904348, 71.39836834273265), ('', '')]"
It’s a Match: Task Assignment in Human–Robot Collaboration Depends on Mind Perception,"'George Mason University, Fairfax, VA, USA', 'Institute of Psychology and Education, Ulm University, Albert-Einstein-Allee 47, 89069, Ulm, Germany', 'University of North Carolina, Chapel Hill, NC, USA'","'Eva Wiese\xa0&\xa0Patrick P. Weis', 'Patrick P. Weis', 'Yochanan Bigman,\xa0Kyra Kapsaskis\xa0&\xa0Kurt Gray'","[(38.83133325, -77.30798838879116), (48.4194121, 9.944829309399806), (35.90503535, -79.04775326525107)]"
Top of the Class: Mining Product Characteristics Associated with Crowdfunding Success and Failure of Home Robots,"'Luddy School of Informatics, Computing, and Engineering, Indiana University, Bloomington, IN, USA'","'Natasha Randall,\xa0Selma Šabanović,\xa0Staša Milojević\xa0&\xa0Apurva Gupta'","[(39.1802358, -86.50935262731483)]"
Body Language for Personal Robot Arm Assistant,"'Department of Brain and Cognitive Science, Ben-Gurion University of the Negev, Be’er Sheva, Israel', 'Department of Industrial Engineering and Management, Ben-Gurion University of the Negev, Be’er Sheva, Israel'","'Sridatta Chatterjee', 'Yisrael Parmet\xa0&\xa0Tal Oron-Gilad'","[(31.2631254, 34.802238544584185), (31.2631254, 34.802238544584185)]"
The Effects of Interface Views on Performing Aerial Telemanipulation Tasks Using Small UAVs,"'Biological and Agricultural Engineering, North Carolina State University, Campus Box 7625, Raleigh, NC, 27695, USA', 'Computer Engineering, Iowa State University, 2520 Osborn Dr., Ames, IA, 50011, USA', 'Agricultural and Biosystems Engineering, Iowa State University, 605 Bissell Rd., Ames, IA, 50011, USA'","'Sierra N. Young', 'Ryan J. Lanciloti', 'Joshua M. Peschel'","[(35.77184965, -78.67408695452633), (42.0284192, -93.65073991444444), (42.0273549, -93.65263684221785)]"
Production of Character Animation in a Home Robot: A Case Study of LOVOT,"'Freelance, Tokyo, Japan', 'GROOVE X, Tokyo, Japan'","'Masahiro Emoto\xa0&\xa0Kanji Kawai', 'Naoto Yoshida,\xa0Shuto Yonemura,\xa0Naoki Numaguchi,\xa0Hiroki Nakazato,\xa0Shunsuke Otsubo,\xa0Megumi Takada\xa0&\xa0Kaname Hayashi'","[(35.6812665, 139.757653), (35.6812665, 139.757653)]"
Gender Stereotyping of Robotic Systems in Eldercare: An Exploratory Analysis of Ethical Problems and Possible Solutions,"'Division of Ethics in Medicine, Carl von Ossietzky University of Oldenburg, Ammerländer Heerstraße 114-118, 26129, Oldenburg, Germany'","'Merle Weßel,\xa0Niklas Ellerich-Groppe\xa0&\xa0Mark Schweda'","[(53.148925399999996, 8.182053307335966)]"
A Storytelling Robot Managing Persuasive and Ethical Stances via ACT-R: An Exploratory Study,"'Institute for High Performance Computing and Networking of the National Research Council of Italy (ICAR-CNR), Palermo, Italy', 'Institute for Educational Technology of the National Research Council of Italy (ITD-CNR), Palermo, Italy', 'Department of Computer Science of University of Turin, Turin, Italy'","'Agnese Augello\xa0&\xa0Antonio Lieto', 'Giuseppe Città\xa0&\xa0Manuel Gentile', 'Manuel Gentile\xa0&\xa0Antonio Lieto'","[(38.1112268, 13.3524434), (38.1112268, 13.3524434), (45.0677551, 7.6824892)]"
"Trust, Acceptance and Social Cues in Human–Robot Interaction (SCRITA)","'University of Naples Federico II, via Pansini, 5, 80131, Naples, Italy', 'University of Hertfordshire, Hatfield, England', 'Uppsala University, Uppsala, Sweden'","'Alessandra Rossi', 'Patrick Holthaus,\xa0Sílvia Moros\xa0&\xa0Marcus Scheunemann', 'Giulia Perugia'","[('', ''), (51.75174425, -0.23904979445944738), (59.8617859, 17.6376705)]"
Space Invaders: Pedestrian Proxemic Utility Functions and Trust Zones for Autonomous Vehicle Interactions,"'Institute for Transport Studies, University of Leeds, Leeds, UK', 'School of Computer Science, University of Lincoln, Lincoln, UK'","'Fanta Camara\xa0&\xa0Charles Fox', 'Fanta Camara\xa0&\xa0Charles Fox'","[(53.80677435, -1.5562877504739676), (53.2281087, -0.5469923)]"
Attitudes Toward Attributed Agency: Role of Perceived Control,"'Institute of Management Science, TU Wien, Vienna, Austria'",'Setareh Zafari\xa0&\xa0Sabine T. Koeszegi',"[(48.19853965, 16.369861676286614)]"
Empathetic Speech Synthesis and Testing for Healthcare Robots,"'Centre for Automation and Robotic Engineering Science, Department of Electrical, Computer, and Software Engineering, The University of Auckland, Auckland, New Zealand', 'Singapore University of Technology & Design, Singapore, Singapore'","'Jesin James,\xa0Catherine I. Watson\xa0&\xa0Bruce MacDonald', 'B. T. Balamurali'","[('', ''), (1.341603, 103.96434326603818)]"
A Touching Connection: How Observing Robotic Touch Can Affect Human Trust in a Robot,"'HRI Lab, Tufts University, Medford, MA, 02155, USA', 'Department of Cognitive, Linguistic, and Psychological Sciences, Brown University, Providence, RI, 02912, USA'","'Theresa Law\xa0&\xa0Matthias Scheutz', 'Bertram F. Malle'","[(42.40649125, -71.11800725402092), (41.8186395, -71.4088008716793)]"
Modeling and Predicting Trust Dynamics in Human–Robot Teaming: A Bayesian Inference Approach,"'Department of Industrial and Operations Engineering, University of Michigan, Ann Arbor, MI, USA'",'Yaohui Guo\xa0&\xa0X. Jessie Yang',"[(42.2942142, -83.71003893509601)]"
A Meta-analysis on Children’s Trust in Social Robots,"'Department of Psychology and Methods, Jacobs University, Bremen, Germany', 'Department of Information Technology, Uppsala University, Uppsala, Sweden'","'Rebecca Stower\xa0&\xa0Arvid Kappas', 'Natalia Calvo-Barajas\xa0&\xa0Ginevra Castellano'","[(53.167723300000006, 8.651165678669964), (59.8617859, 17.6376705)]"
Real-Time Estimation of Drivers’ Trust in Automated Driving Systems,"'Robotics Institute, University of Michigan, Ann Arbor, MI, 48109, USA', 'Department of Mechanical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA', 'School of Information, University of Michigan, Ann Arbor, MI, 48109, USA', 'Mechanical Engineering Department, University of Michigan, Ann Arbor, MI, 48109, USA'","'Hebert Azevedo-Sa,\xa0X. Jessie Yang\xa0&\xa0Lionel P. Robert Jr.', 'Suresh Kumaar Jayaraman', 'Connor T. Esterwood', 'Dawn M. Tilbury'","[(42.2942142, -83.71003893509601), (42.2942142, -83.71003893509601), (42.2942142, -83.71003893509601), (42.2942142, -83.71003893509601)]"
Break the Ice: a Survey on Socially Aware Engagement for Human–Robot First Encounters,"'Institute for Systems and Robotics, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal', 'Faculty of Psychology, University of Lisbon, Lisbon, Portugal'","'João Avelino,\xa0Rodrigo Ventura\xa0&\xa0Alexandre Bernardino', 'Leonel Garcia-Marques'","[(38.75109295, -9.156203506379315), (38.75109295, -9.156203506379315)]"
Perceptions of Agent Loyalty with Ancillary Users,"'Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, USA', 'Robotics Institute, Carnegie Mellon University, Pittsburgh, USA'","'Samantha Reig\xa0&\xa0Jodi Forlizzi', 'Elizabeth Jeanne Carter,\xa0Xiang Zhi Tan\xa0&\xa0Aaron Steinfeld'","[(40.444189699999995, -79.94271918393466), (40.444189699999995, -79.94271918393466)]"
"Good Robots, Bad Robots: Morally Valenced Behavior Effects on Perceived Mind, Morality, and Trust","'College of Media & Communication, Texas Tech University, Box 43082, Lubbock, TX, 79409, USA'",'Jaime Banks',"[(33.59375255, -101.89959552302756)]"
Investigating Trust in Interaction with Inconsistent Embodied Virtual Agents,"'Department of Computer Science, Drexel University, Philadelphia, PA, USA', 'Department of Computer Science, Worcester Polytechnic Institute, Worcester, MA, USA'","'Reza Moradinezhad', 'Erin T. Solovey'","[(39.9574, -75.19026656335703), (42.274315, -71.80845674552586)]"
